输入,预期输出,实际输出,结果
"1708100470 他妈的你自己看，昨天答应发顺丰到现在货都你妈的没发
170卡还靓号  毛线全垃圾号码  还不如阿里通信
170卡这个弱智，写成：赠送资源规则：“211”，即购物金额每满2元，赠送1分钟国内语音+1m国内流量。
170号码太坑了居然收10元月租
170 扯淡
171196445 的垃圾袋我们乌海的同事反映没有发票？
1722804154? 订单你们所谓的狗使专员，7号给我回电说稍后回电我，结果一个稍后就是3天，这段时间电话和在线我找了十几个客服，每个都说给我催，结果都是敷衍我，给你差评 你得感谢你们的垃圾专员
17.30以前要是不到账，我真投诉的，8147她妈的
1731388823?给我办理脱货··· 我在也不会再你们二手东买任何东西··麻痹··虚假广告
1733240424?这个订单 客户说我们产品存在欺骗 我们产品并未说有什么缓冲带 我们描述的是车轮
1736627977?和1736681056?怎么拆分前无法送达，拆成两个单子后还是无法送达，你们在干什么呀，忽悠吗
17:40:05 他妈的，你告诉我除了再提交还有没有其他办法
1740990692 还有这一个也是垃圾，质量根本没保证，发来2次都坏了
17:48:54 吃大便吧，去死吧
175110154-34109511:24:45这是质量问题还是假货？
17672033-561866\2014-06-09 19:16:42?顾客 917672033-561866 加入咨询jd_lapapini\2014-06-09 19:16:43?你好 我们是蓝帕佩尼旗舰店 有什么为你服务的吗？917672033-561866\2014-06-09 19:17:20?***妹啊 ***要让老子等多久jd_lapapini\2014-06-09 19:17:37??货到付款5.6天哦jd_lapapini\2014-06-09 19:17:50?预计明天就能帮你派送的哦jd_lapapini\2014-06-09 19:17:54?消消气917672033-561866\2014-06-09 19:17:55?草 垃圾快递jd_lapapini\2014-06-09 19:1
1799元是不是买了假货
1799的价格也是欺骗行为
1-7个工作日 ? 你讲的是废话
1~7个工作日 到账 你他妈好去死了
17号下单，22号还不配送，京东倒闭算了
17号下单，别人的发货了，我的没发，18号到今天我打了几个客服电话，在线客服也找了几个，都这样忽悠我
17号，下的老在人和，去死
17号你还送个屁啊
17号取件换货的 20号到分拣中心的 ? 麻痹 四天 还在分拣中心
17号就有高级客服联系我处理了，可是他忽悠我，答应我的没办到，拖拉到22号
17号就没货了，你们今天搞个屁抢购
17号就说发货了，发到现在，期间咨询，你们各种客服各种专员各种忽悠
17号的短信告知是在放屁！！！！！！！！！！！！！
17号第一批预约的，都他妈3天了还没点动静！！！1
17号货就拉回去了，今天25号，还没有消息，抚顺到沈阳就1个小时的路程，这是忽悠我们呢
17天  从地球都他妈的   飞一圈了
1-7天 呵呵了 ?先退 ?恶心到了
17点前解决不了，老子打官司也他妈跟你们玩
17 等下有忽悠我21号到
1800京豆个屁?? 那是你们说的? 我是说要么18块钱? 要么2500京豆
18:00前完成下单,预计(07月09日)送达，你们网上写的，是欺骗消费者吗
18.01 ?哎呀 气死我了
180多太坑了
180天内无需修理直接换货。请问无理由换货需要出示售后。质量检测单吗？京东回复： 您好！自收到商品之日起，如您所购买家电商品出现质量问题，请先联系厂家进行检测 ，凭厂商提供的故障检测证明，在“我的京东-客户服务-返修退换货”页面提交退换申请，将有专业售后人员提供服务。感谢您对京东的支持！祝您购物愉快！   能正面的回答吗？  既然要检测单那为什么说180天内无需修理直接换货、这不是虚假广告吗？是欺骗？
180天包换，有屁用啊
18 14:01:06 \\我的留言：\可是收到没有使用说明书和保修卡。有刻划硬伤，拍卖品也没说明，影响使用啊。难道这不是欺骗和隐瞒不实吗？你们夺宝岛24小时不付款就扣2000京豆，不影响你们二次拍卖，为什么还扣20元或2000京豆？你们讲理吗？还是要求补偿2000京豆。因为你们在一年中扣了我相当100元人民币的积分或京豆，那些我拍卖过的东西，你们又都卖了。 \\提交时间：\2014-02-18 15:36:09
18:17?我们发错了吗？627126134_m\2014-06-13 15:18:19?退客服\2014-06-13 15:18:26?可以退货的627126134_m\2014-06-13 15:18:29?我管你有没有发货627126134_m\2014-06-13 15:18:32?发错627126134_m\2014-06-13 15:18:46?妈的，影响我上班627126134_m\2014-06-13 15:18:59?害我被批一顿627126134_m\2014-06-13 15:19:01?退客服\2014-06-13 15:19:04?亲 ?是哪一条发错了？客服\2014-06-13 15:19:12?好的 ?没问题 ?可以退货的627126134_m\2014-06-13 15:19:1
18218498837，别忽悠我哈，昨天跟一个客服说了，他跟我说好，然后就没有然后了。。。气死我了
18246666934_p20:13:09今天京东给我来了个短信，关于退款7天没到帐的问题，我想说一句你们京东放屁呢，说我没有提供订单号，我想问一句我给你们的截图里面是什么
18246666934_p20:18:45截图上清晰吧，商品价值798 ，退款比率0 ?退款金额0 ? 然后下面的那单子又说798元退款完成，我想知道你们当我是傻逼吗？还是什么意思？店大欺客也没有这么个玩法吧
18510043253 ?你打电话来老子骂得更凶
18550522054? 明晚有空。明晚得不到处理我自己想法处理。总有地方评判你们这种欺骗行为。
18600441698，什么时候有回信？确切的时间，别说过一会儿，马上回之类的忽悠人
18628076721，真是的，怎么我也算是京东的老客户了，这次这个活动是这个结果的话那也太坑人了吧
18636531278 ? 给我个说法 就是这样欺骗我了 这次 我是不会给你邮回去
18652407208   如果不提供给我满意的方案  我一定明天投诉刘强东那
18662494653电话我继续留下，老子明天直接打12315投诉你们欺诈消费者
18665917182_p 23:01:04 精豆支付密码是不是忽悠人的
18675961325 ? 升级也不办实事，就会忽悠。
18679459585  让他打这个  是我买的送给我妈妈的 她老人家不知道啥
18721179451_p\2014-07-07 12:00:32?时候时候退款给我jd_hfzy\2014-07-07 12:00:46?您好。18721179451_p\2014-07-07 12:01:05?别废话
18727929016是我老妈的号
18778540261这是我的号码 上门的时候打这个 到时候重新发货就按收件的那个号码 那是我妈的
187就是我老妈的号
18815280153 ? 要是孩子自提点 ?麻烦你让他别发了 ?我他妈自己发顺丰
1890123193518:29:59你不如在线过来和我一起吃西瓜,晚饭我请拉,相声是看不了啦,马三立一升天,卖家以失联,剩下的就越是豆你玩,你妈你爸身体可好,我提前三天发请帖,请他们吃满汉全席,不过要请他们到十三陵去吃,因为满清大厨在十三陵
1890123193518:29:59你不如在线过来和我一起吃西瓜,晚饭我请拉,相声是看不了啦,马三立一升天,卖家以失联,剩下的就越是豆你玩,你妈你爸身体可好,我提前三天发请帖,请他们吃满汉全席,不过要请他们到十三陵去吃,因为满清大厨在十三陵,请你父母不要戴手机,因为那里没有基站
1890123193518:29:59你不如在线过来和我一起吃西瓜,晚饭我请拉,相声是看不了啦,马三立一升天,卖家以失联,剩下的就越是豆你玩,你妈你爸身体可好,我提前三天发请帖,请他们吃满汉全席,不过要请他们到十三陵去吃,因为满清大厨在十三陵,请你父母不要戴手机,因为那里没有基站,在那里失联是很正常的
1890123193518:29:59你不如在线过来和我一起吃西瓜,晚饭我请拉,相声是看不了啦,马三立一升天,卖家以失联,剩下的就越是豆你玩,你妈你爸身体可好,我提前三天发请帖,请他们吃满汉全席,不过要请他们到十三陵去吃,因为满清大厨在十三陵,请你父母不要戴手机,因为那里没有基站,在那里失联是很正常的,请你提前做好准备
18921537678 你他妈浪费我半天时间 早干嘛去了？
18929320205这个号码说不是京东人，你打电话问一下吧，我操，你们工作人员做事这么不认真，早应该把他开除了
18983080106  客服的聊天记录我截屏的  如果你们还是不承认  我就给12315反应  你们不是明摆着欺骗消费者吗
18下的单，今天23号了，杳无音讯，你们中鸡巴球用
18下的单～到现在都没到～还骗我说申请500京豆～～他妈的，全部都是屁话
18买19日送不了 请你们别欺骗消费者
18号 0点下的单子，那时候你们保证给我22号送到。现在影都没一个，我还跟几跟朋友吹嘘说今天冰箱到了，叫他们一起过来看看，谁知道你们还没发货。你们到底在做什么。叫你老板出来说话，还到底卖不卖，没货就别在那忽悠人、
18号一天没有货，抢个屁，19号5点就有货了，太小儿科了
18号下的单昨天都收到了就破b邮政他妈的要一星期
18号下的单，说是是晚23号付尾数，但现在的你们说没有？??太坑人啦
18号买19号到了不给我打什么鸡巴电话让我在家等
18号 买的华硕电脑    页面下方有活动 ， 昨天收到电脑，活动还在。 我按照活动内容做了分享等等。   下午回家后发现 这个活动消失了。   所有华硕电脑页面里都没有这个活动的痕迹了。   问你们客服  客服让我等短信他去核实。   刚刚得到短信回复， 让我提供活动链接。   你们采销部的人脑子有病么？ 活动消失了 我去哪找链接？
18号买的时候说20号发货，现在20天，真会忽悠人
18号买的显示器，预约22号周天送货上门，非得21号出库，22号到厦门到24号都不给送！！！21号已经开始上班了，没有显示器怎么办公请问？？？？商品出库要拖时间，送个货也要拖时间！！！一个东西送去1个星期，什么破物流啊！！！！你们就是说尽快送，有个鸟用啊！！！不能办公的损失请问谁负责？？？！！！！有个时间观念好不好，单方面违约就活该客户自己承担吗？你们这样又人会起诉你们的！！！！！！气死人了！！！！！！！！！！md，每次出了问题就一声对不起，你们京东的对不起真tm当人民币来用
18号到现在几天了，你妹啊
   18号就给w我打电话确认了？   忽悠我三天  还没动？
18号我好了一天没有货，今天早晨就有货不是欺骗吗
18号我就问你们说重新下单 你们说等等 ?妈的等来等去还是重新下单 cao你nainai京东
18号拍了说21号送货，结果25号送到，送到又没安排人过来安装又要我们自己联系安装安装了又用不了，真不知道京东是不是在欺骗消费者的吗？
18号的人的订单货都没发，我21号的，我就他妈的该再等1周吗
18号的时候，我本来还想支持你们店庆，买个苹果5s呢，结果来了一个快递忽悠我一通，整的心情很郁闷
18号的活动还在上面,这不是欺骗消费者嘛
18号的订单  你们就这么忽悠客户么
18号的订单现在还没发货我操你京东全体工作人员
18号说退款完成，等了快半个月还不到账，找在线客服说肯定退肯定退，但是迟迟没退，最后一个客服更可笑，说要证据，说他们退款成功了，我说要不我上工商网上银行把8月18日当天交易记录打印出来给你看？那客服居然说网上银行的数据又不一定是对的，我tmd真心想笑了，网银数据不对？难道你是对的，最后打电话给客服，说什么他们已经提交退款申请，要在15个工作日内才能到账，周六周日不算工作日，我xxxxx，垃圾京东，第一看看到这么会推来推去的，不想退钱直接说，劳资这点钱不在乎，但是就是看不惯他们这幅吊样
18天了，你怎么不去死
18天了妈的
18天了 还没走出福建省? 这也太坑了
18日-20日在你们京东购买总共3个订单购买3台空调，多次催促你们发货，你们告知已经发货，物流信息延后告知，但是实际上你们根本就没有发货，20日显示有安排配送，催你们给物流单号，你们说是德邦物流，但是一直到今天，只有其中一个订单显示佳吉物流开始配送，其余的实际都没有发货，所以你们所谓的德邦物流也不可能有单号，如此欺骗消费者实属可恶！！！！我已经将你们的聊天记录进行保留有待提交12315进行处理，业将你们的恶劣行为在各大投诉网站进行提交，揭露你们为了竞争不惜一切手段的丑恶行为，要求你们做出相应赔偿，电话13878149988
18时前我看不到账户中有退款，我将会在上海12345再次控诉该事件，那么明天你们上海京东就必须承担你们欺骗的责任
18点多般的退款到现在老子没收到就不行
18、购买的商品出现质量问题如何处理？您好，京东承诺符合售后退换货规则的商品，由售出之日（以实际收货日期为准）起7日内可以退货，15日内可以换货，客户可以登陆“我的京东”提交退换货申请，将有专业售后人员为您处理    这句话是在放屁？
19.00以前在不到账，我就投诉3537客服，我骂她八辈祖宗
19.00以前在不到账，我就投诉给我申请400京豆的客服，我骂她八辈祖宗。
1933她妈的
1955748574-69671015:03:53帮别人养女人四年多，还要拿钱讨好！对老子你帮过什么？做过什么！可恨的还要汚辱老子害老子，伤老子，羞辱老子，欺诈老子，哦，狗杂种一回，你可以工作不要，我就更不用讲了吧，功劳全是他的？可以！把老子四年多的所有开销还给老子
1955748574-69671022:22:40把借的七仠二百整和一万六仠元了难钱在周一前送归还老子
1955748574-69671022:22:40把借的七仠二百整和一万六仠元了难钱在周一前送归还老子看
19654371-13400816:45:59等多久运动林林16:46:46会一到三天,我们经理出猜了要经过经理审核运动林林16:47:00才打款19654371-13400816:47:54星期六 说星期一 现在说星期二运动林林16:49:01之前没提供帐号所以没有做到单19654371-13400816:49:28给了 你妹呀 没给 欺负我呀运动林林16:49:34所以时间脱久了点运动林林16:49:48是给了,那不好意思
1990花出去了 一个屁也没有
1-9-9 1:32:00 您的货物已分配，等待配送 毕国清 9-7已经到达广州德围站了 离收货点就半个小时的车程时间 8号没反应了，9号又出来一个 货物已分配到发货区，等待送往广州信丰物流 已经到了的货还要隔天分配到发货区 打电话去问货运公司竟然说是9号刚到的 要隔天才能送过来，那前面的已到广州德围站那不是忽悠人嘛 京东真垃圾
19.99你买我返！这个标题太能忽悠了
1999￥的话肯定买了，3499也太坑了吧……
1999￥肯定是首选了，3499￥明显太坑……
19.9 ?元10件 不要 ? ? 非要4件15.6 ?有病吖
19.9元！五一大放价！】5万好评 谁说便宜就没好货！万千妈妈的口碑保证 值得您信赖！全场满100-30！点击“查看
19.9元的杯子运费8元有病吧？
199的时候不能卖   能卖的时候就涨价   你们这是欺骗消费者啊
19下的单显示已交圆通快递，今天显示才收件，不能这么欺骗消费者
19号你们就有人打电话告诉我 让我在家等着收货 19号没送到 单位组织20号的旅游老子都没法去
19号就已经在退了现在21号了还没退回来，什么垃圾效率
19号已经收回商品了，到现在都不给换新，还说维修好寄回，这可太坑人了
19号开始就说催促下，现在还是那个屁话
19号，忽悠说两三天就送过来，现在都一个星期了，还是没反映
19号申请退款，今天26号了，现在还转什么狗屁专员处理
19号的单，现在搞来搞去到了24号了，而且一直都是你们欺骗在先，出了问题又是让消费者等待。
19号签到的，下午申请退货的，今天22号，你给我搞个7-15天检测，退个屁
19号？这不是欺骗吗     辛辛苦苦抢购的   还不发货
19块太难搞了，这垃圾店谁的啊",1,1.0,正确
19岁就出来忽悠我啊,1,1.0,正确
19日打我电话 ?还说24小时内会再联系我的 ?到现在都没联系 你们京东讲话怎么跟放屁一样？,1,1.0,正确
19点之前联系我，叫我耐心的等待，耐心他大爷的，电话呢,1,1.0,正确
19点前电话联系 是忽悠我吗,1,1.0,正确
19送到，今天几号了，有屁电话联系我，我找你们，就纯忽悠我，何为联系,1,1.0,正确
1、a：西红柿和香蕉去拍戏哪个会红？b：西红柿！a：错！是香蕉！b：为什么？a：因为香蕉会脱衣服！2、蚊子一不小心撞到了蜘蛛网上，怎么挣扎也没法逃脱。蜘蛛从网的另一端爬了过来要吃蚊子，蚊子哀求道：“别吃我啊，咱们怎么说也算是网友啊。”蜘蛛一口就把蚊子吞了下去，拍了拍肚皮道：“小样，不知道现在网友见面都是见光死么。”3、酒吧里，我对一个女生说：“你知道吗，我复姓轩辕，是黄帝血裔，一百万人中也找不到一个我的同族哦。”果然搭讪成功，一夜缠绵。第二天她发现宾馆服务生叫我王先生，怒道：“你竟然欺骗我！”?我解释说：“这叫酒后乱姓。”4、a：城里人崇洋媚外太严重了，你瞧，连厕所都写上英文字母了。b：农村有所不同吧，是不是只写“茅厕”？a：当然不一样，农村是写“打不流西”。5、“元芳，你怎么看？”“回大人，卑职认为楼主是逗b,1,1.0,正确
1、ipad mini对wifi网络的识别很差，我两部手机，两个电脑都有信号的时候，pad没信号。2、刚买就降价了，太坑爹了吧。,1,1.0,正确
1liangdeyong?：?这个厂家简直就是一个垃圾厂，我退回去的不制冷的所谓空调，在他们所谓的检测说是制冷的，真是让人无语、说派过来检测德 师傅不是他们公司的，师傅说了不算、要他们自己厂家说了才算、这说话都出尔反尔的厂家有人还能够相信你们吗？京东电商对这样的厂家也是监督不够，有问题也不尽快协助客户解决问题,1,1.0,正确
1rayonlyone：                                                                            京东太坑人了，6月19号零晨下单时显示是6月18号配送，是京东配送并赠送价值159元的啥礼包。结果全是坑蒙拐骗，一直到20号才由海尔打电话跟我预约说22号过来安装，投诉京东客服，都是一群鹦鹉学舌，只知道推诿，狡辩，就不帮你解决问题。,1,1.0,正确
1                              rayonlyone                           ：                  京东太坑人了，6月19号零晨下单时显示是6月18号配送，是京东配送并赠送价值159元的啥礼包。结果全是坑蒙拐骗，一直到20号才由海尔打电话跟我预约说22号过来安装，投诉京东客服，都是一群鹦鹉学舌，只知道推诿，狡辩，就不帮你解决问题。我,1,1.0,正确
1， 万一这个中奖 损失由谁负责？  2这个欺骗客户， 以前买的彩票业是不是也欺骗客户？,1,1.0,正确
1， 万一这个中奖 损失由谁负责？ 2这个欺骗客户， 以前买的彩票业是不是也欺骗客户？ 3，假如先流单，后又改回去了，不管中没中，这个你们能改 ，  号码会不会也改？,1,1.0,正确
1万资金放进去好几天了 给了2分钱 ?太扯淡了,1,1.0,正确
1 不换 ——2 忽悠东西对的—— 3——投诉315后换 4——换来的东西还是原样 5——不理了,1,1.0,正确
1.业务不精 2.工作太度差 3.就象个大爷似的,1,1.0,正确
1.严重与商品描述不符，欺骗消费者2.货品质量有严重问题，线头，最重要是压仓货品，发黄3.没有发票，为何没有发票！是故意的吗4.背面全是线头，四种花色哪有四种，白色衣架旧的都发黄了，新世纪百货，人人乐，家乐福，超市会不会把这样东西摆出来还卖40？,1,1.0,正确
1个二哥清一色的台词。道歉道歉。老子强女干 了你再道歉你满意不 。。,1,1.0,正确
1个假货发给我 并且是坏的,1,1.0,正确
1个周了，就这样忽悠客户,1,1.0,正确
1个多月了，太坑了,1,1.0,正确
1个小时就是这样忽悠我的！说马上短信！也没收到呢！,1,1.0,正确
1个小时收不到货，我诅咒你们不得好死，全家死光,1,1.0,正确
1个小时收不到货，我诅咒你们不得好死，全家死光，太他妈的气人了,1,1.0,正确
1个小时收不到货，我诅咒你们不得好死，全家死光，太他妈的气人了，这么久了，电话都没有一个,1,1.0,正确
1个小时跟傻子似的,1,1.0,正确
1个屁,1,1.0,正确
1个星期了 还tmd送不送了,1,1.0,正确
1个月了 还不退款！！！！！！！垃圾啊,1,1.0,正确
1.为什么配送延时？最近活动火爆，货物积压过多，所以导致配送延迟，非常抱歉。（因为最近没刮风没下雨，你们只能这样扯淡了）,1,1.0,正确
